backers_count,final_status,amount,time_period,creation_till_launch,marker
3,1,20.0,9,0,0
2,0,300.0,16,1,1
0,0,30.0,10,0,0
18,1,500.0,30,0,0
1,0,2000.0,30,0,0
14,0,700.0,28,4,0
2,0,250.0,25,0,0
32,1,1000.0,31,0,0
44,0,5000.0,33,0,0
18,0,3500.0,31,0,0
7,0,30000.0,35,2,0
2,0,300.0,29,0,0
28,1,1500.0,31,0,0
98,1,500.0,47,0,0
3,0,500.0,37,3,0
20,1,1000.0,34,0,0
12,0,600.0,13,2,0
163,1,1500.0,62,0,0
54,0,3500.0,24,1,0
23,1,1000.0,33,4,0
54,1,365.0,56,0,0
29,1,500.0,61,0,0
20,1,400.0,21,1,0
10,1,100.0,50,0,0
51,1,250.0,17,1,0
36,1,3000.0,31,1,0
3,0,640.0,66,0,0
132,1,3500.0,62,0,0
16,1,300.0,23,2,0
19,1,1000.0,41,0,0
74,1,1000.0,41,3,0
25,1,99.0,80,0,0
27,0,5000.0,32,15,0
0,0,2500.0,63,0,0
2,0,2499.0,40,0,0
1,0,8000.0,41,4,0
389,1,1000.0,53,1,0
14,0,700.0,56,13,0
25,0,1200.0,60,0,0
0,0,5000.0,63,14,0
98,0,9999.0,49,8,0
65,0,10000.0,25,2,0
59,1,2000.0,35,2,0
18,1,1000.0,26,0,0
10,1,6000.0,10,1,0
1,0,2000.0,73,0,0
6,0,3000.0,72,0,0
0,0,200.0,90,0,0
16,0,1600.0,49,0,0
79,1,3500.0,32,1,0
1,0,1350.0,35,4,0
56,1,2000.0,20,6,0
205,1,2000.0,75,16,0
9,0,1200.0,40,11,0
54,1,2495.0,35,4,0
38,1,550.0,29,1,0
56,0,3500.0,37,12,0
79,1,5500.0,85,1,0
1,0,800.0,89,0,0
23,1,2500.0,21,2,0
67,1,1000.0,16,32,0
59,1,2400.0,70,19,0
19,1,315.0,17,0,0
1,0,2000.0,30,0,0
12,0,1500.0,40,0,0
398,0,20000.0,32,1,0
36,0,1500.0,90,1,0
149,1,7500.0,22,1,0
16,0,1400.0,30,0,0
38,1,500.0,5,1,0
0,0,5000.0,46,2,0
0,0,10000.0,61,0,0
6,0,325000.0,43,3,0
75,0,6000.0,89,4,0
7,0,5000.0,45,3,0
104,1,3500.0,26,6,0
0,0,10000.0,7,2,0
148,0,8000.0,55,27,0
68,0,3000.0,50,19,0
31,1,800.0,33,0,0
0,0,15000.0,90,0,0
36,1,3200.0,38,32,0
0,0,8175.0,88,0,0
2,0,200.0,90,2,0
10,0,2000.0,89,3,0
5,0,3500.0,41,7,0
4,0,4500.0,87,12,0
18,0,10000.0,43,0,0
0,0,10000.0,90,2,0
57,0,5000.0,90,1,0
25,0,5000.0,16,0,0
224,1,10000.0,76,8,0
3,0,3000.0,50,5,0
28,1,3500.0,64,2,0
16,1,300.0,28,0,0
56,1,3000.0,37,21,0
56,1,5000.0,9,1,0
77,0,7500.0,89,8,0
80,1,3000.0,89,8,0
97,1,3500.0,43,1,0
33,0,2000.0,88,59,0
21,0,3250.0,52,0,0
5,0,2500.0,55,2,0
139,0,17000.0,90,7,0
10,0,4000.0,40,1,0
0,0,500.0,14,1,0
0,0,10000.0,22,3,0
17,0,5000.0,41,1,0
46,1,1000.0,40,31,0
0,0,5999.0,86,0,0
46,0,4000.0,22,1,0
7,0,2500.0,88,5,0
37,0,5000.0,39,0,0
5,1,200.0,63,0,0
92,1,4500.0,42,1,0
163,1,5000.0,32,6,0
58,1,2325.0,42,14,0
64,1,1500.0,30,1,0
108,1,3500.0,30,7,0
11,1,200.0,53,0,0
12,0,2000.0,62,45,0
7,0,1200.0,31,1,0
1,0,2500.0,45,11,0
68,1,1500.0,25,0,0
26,0,1000.0,30,0,0
5,0,5000.0,39,0,0
34,0,2000.0,31,1,0
181,0,50000.0,61,7,0
3,0,800.0,19,0,0
0,0,25000.0,30,0,0
0,0,1000.0,30,0,0
26,0,1800.0,25,16,0
53,1,3000.0,37,4,0
7,1,800.0,15,0,0
57,1,2000.0,90,4,0
0,0,1500.0,9,1,0
0,0,5000.0,32,0,0
44,1,2000.0,25,5,0
93,1,2500.0,53,5,0
131,1,10000.0,65,4,0
0,0,4850.0,31,6,0
6,0,2000.0,89,30,0
18,1,5000.0,35,0,0
50,1,3500.0,46,31,0
26,0,20000.0,55,6,0
66,1,100.0,35,4,0
170,1,7000.0,40,1,0
35,0,1000.0,89,10,0
82,1,2500.0,29,24,0
0,0,11000.0,35,1,0
0,0,50.0,30,0,0
132,1,3000.0,20,7,0
3,0,3000.0,85,0,0
82,1,3500.0,32,14,0
0,0,1000.0,81,2,0
90,1,5000.0,31,0,0
89,1,6000.0,44,8,0
6,0,10000.0,52,5,0
25,0,5000.0,90,0,0
0,0,8000.0,38,1,0
4,0,5000.0,89,47,0
83,1,3500.0,30,1,0
9,0,3000.0,35,1,0
7,0,200.0,21,0,0
0,0,6000.0,84,0,0
0,0,6000.0,18,0,0
50,1,5000.0,65,39,0
7,1,110.0,6,0,0
132,1,10000.0,49,7,0
15,0,430.0,15,4,0
15,0,1410.0,35,0,0
44,1,2000.0,59,3,0
36,1,2000.0,58,6,0
20,0,2500.0,90,2,0
31,1,1135.0,72,0,0
54,1,5000.0,36,1,0
0,0,5000.0,57,0,0
41,0,324.29,33,2,0
34,0,2000.0,52,0,0
5,0,480.0,60,0,0
0,0,285.0,61,1,0
7,0,1100.0,29,1,0
1,0,1500.0,50,1,0
18,0,2500.0,50,2,0
39,0,6720.0,44,6,0
34,0,3000.0,48,19,0
0,0,200.0,41,5,0
29,0,5000.0,42,1,0
3,0,5000.0,39,0,0
2,0,5400.0,88,8,0
8,0,2500.0,85,4,0
59,1,150.0,48,3,0
2,0,3000.0,54,9,0
0,0,100.0,47,6,0
570,1,3500.0,67,6,0
24,1,750.0,31,9,0
4,0,2000.0,87,11,0
189,1,2000.0,31,8,0
0,0,5000.0,65,4,0
0,0,5000.0,89,4,0
2,0,3000.0,68,2,0
20,0,63000.0,72,0,0
38,1,195.0,55,31,0
83,1,2000.0,89,25,0
76,1,2500.0,48,91,0
27,1,1000.0,48,6,0
0,0,3500.0,75,2,0
21,0,3500.0,89,3,0
28,0,1250.0,42,4,0
88,0,10000.0,44,14,0
0,0,20000.0,47,4,0
64,1,3000.0,61,2,0
4,0,800.0,30,0,0
16,1,576.0,14,1,0
22,1,1000.0,37,0,0
5,0,4800.0,88,48,0
156,1,10000.0,43,3,0
2,0,7443.0,55,2,0
10,0,2500.0,75,2,0
0,0,1000.0,55,6,0
38,0,2799.0,55,1,0
76,1,2000.0,18,3,0
0,0,2000.0,90,0,0
9,0,1000.0,56,51,0
48,1,2000.0,60,2,0
10,0,1300.0,62,2,0
16,0,5111.0,57,29,0
173,1,4800.0,63,2,0
0,0,1120.0,61,0,0
68,0,5000.0,30,6,0
59,1,3500.0,30,2,0
1,0,1500.0,38,0,0
25,1,800.0,60,1,0
88,1,3000.0,61,0,0
0,0,7000.0,62,0,0
130,1,5000.0,61,2,0
7,0,500.0,73,0,0
16,1,1500.0,89,40,0
31,0,5000.0,62,0,0
8,0,2500.0,62,0,0
2,0,600.0,62,69,0
1,0,8500.0,89,0,0
0,0,2500.0,31,1,0
0,0,4000.0,72,0,0
103,1,3000.0,63,1,0
16,0,10000.0,61,4,0
30,1,1500.0,69,0,0
35,0,12300.0,65,1,0
2,1,22.0,15,0,0
2,0,5000.0,60,1,0
19,0,8000.0,69,6,0
120,1,5000.0,29,14,0
77,1,2000.0,31,9,0
16,0,100.0,21,0,0
38,0,5555.0,60,5,0
4,0,153.0,7,0,0
81,1,4000.0,90,12,0
25,0,10500.0,67,8,0
15,0,300.0,30,0,0
43,1,5000.0,18,2,0
11,1,500.0,85,0,0
65,1,2000.0,29,1,0
15,1,150.0,15,0,0
342,1,25000.0,32,2,0
0,0,5000.01,69,0,0
23,0,800.0,38,4,0
19,0,3000.0,29,26,0
9,0,144.0,14,0,0
19,0,4000.0,32,1,0
21,0,2500.0,90,4,0
4,0,5000.0,38,7,0
3,0,2000.0,73,0,0
103,1,8300.0,90,10,0
0,0,5000.0,74,5,0
1,0,2500.0,62,15,0
10,0,2000.0,62,0,0
0,0,9500.0,89,5,0
27,1,2000.0,30,0,0
12,0,7000.0,61,21,0
30,1,993.0,90,5,0
275,1,3000.0,46,36,0
1,0,5000.0,52,17,0
51,0,9000.0,89,5,0
1,0,1200.0,43,0,0
48,1,2500.0,44,1,0
66,0,5000.0,90,0,0
88,1,3131.0,76,61,0
2,0,2500.0,34,1,0
7,0,3500.0,81,16,0
0,0,5000.0,48,1,0
12,1,950.0,54,64,0
14,1,500.0,85,5,0
22,1,4000.0,88,24,0
29,0,1500.0,78,10,0
0,0,7000.0,68,1,0
0,0,25000.0,78,0,0
41,1,2000.0,52,9,0
70,0,20000.0,78,3,0
0,0,3000.0,89,0,0
7,0,7500.0,63,1,0
0,0,4000.0,70,1,0
82,0,20000.0,78,0,0
0,0,5000.0,63,0,0
0,0,50000.0,78,0,0
9,0,4000.0,89,0,0
0,0,5000.0,89,91,0
373,0,25000.0,34,2,0
